139,小龙坎老火锅（北城世纪金源店）,,,安徽省合肥市长丰县北城世纪金源购物中心B4-019/020/021
140,小龙坎老火锅（上派镇店）,09:30-次日02:00,0551-68667177,安徽省合肥市肥西区上派镇人民东路龙飞明珠花园
141,小龙坎老火锅（龙港大厦店）,11:00-次日03:00,0577-64354555,浙江省温州市苍南县龙港镇龙港大厦二楼商铺
142,小龙坎老火锅（宝龙广场店）,11：00-21：30,0527-83687777,江苏省宿迁市西湖路6号宿迁宝龙广场（宝龙城MALL区1期）29号楼4层f4006号商铺
143,小龙坎老火锅（吾悦广场店）,10:30-次日02:00,0556-5208987,安徽省安庆市龙眠山路吾悦广场一期1003、1005、2003、2005、2006、2007号
144,小龙坎老火锅（连云港店）,9.00-次日01.00,0518-81817888,江苏省连云港市海州区通灌南路56号
145,小龙坎老火锅（万达广场店）,11:00-23:00,0552-3351666,安徽省蚌埠市蚌山区万达珍珠坊（原绿茶餐厅）
146,小龙坎老火锅（人民路店）,10:00-次日02:00,0556-8880017,安徽省安庆市人民路481号一至二楼
147,小龙坎老火锅（安庆店）  ,10:00-00：00,0556-5709188,安徽省安庆市大观区八佰伴商场
148,小龙坎老火锅（睢宁店）  ,11：00-00：00,0516-88138666,江苏省徐州市睢宁县青年路城东派出所东200米路南徐沙河16号
149,小龙坎老火锅（和平路店）,9.30-次日01.00,0518-87888777,江苏省连云港东海县牛山镇和平东路29号东盛晶城大院15-105商铺
150,小龙坎老火锅（丰溪唐韵店）,,,江西省上饶市广丰区永丰街道西关街丰溪唐韵7-1-1/7-2-1—7-2-3/7-2-5—7-2-11
151,小龙坎老火锅（黄梅路店）,（筹备中）,,安徽省安庆市怀宁县黄梅路39号一层门面
152,小龙坎老火锅（国庆中路店）,11:00-次日02:00,0554-2672009,安徽省淮南市田家庵区国庆中路86号
153,小龙坎老火锅（吾悦广场店）,（筹备中）,,江苏省连云港市赣榆区吾悦广场第四层4056-2/4057
154,小龙坎老火锅（恒基广场店）,10:00-次日03:30,0793-8152277,江西省上饶市信州区凤凰东大道168号“恒基城市广场”1-1-1部分、1-2-1-1-2-5、1-2-33-1-2-37、1-1-36、1-1-37号商铺
155,小龙坎老火锅(风景路店),9:30-00:00,0798-8299099,江西省景德镇市风景路111号景富华城4栋2号202室及3号对面
156,小龙坎老火锅（景润中央城商业街店）,11:00-21:30,0554-4677779,安徽省淮南市寿县景润中央广场A7栋121-122-213-214-215室
157,小龙坎老火锅（阳光城店）,11:00-21:30,0556-3775353,安徽省安庆市潜山县潜阳路0299号1幢1-2层0299-1#，2#，3#号商铺
158,小龙坎老火锅（东方御景店）,10:00-00:00,0539-6528777,山东省临沂市郯城县东方御景商铺1851（01,02,03）
159,小龙坎老火锅（珠江路店）,,,江苏省徐州市邳州市珠江东路1号中央花园综合楼2-3楼
160,小龙坎老火锅（新世界店）,09:00-21:00,0564-3216117,安徽省六安市金安区皖西大道中环新世界4楼
161,小龙坎老火锅（龙庭店）,9:30-23:30,0793-5328777,江西省上饶市铅山县龙门大道信江龙庭B区B栋楼7号商铺第一层
162,小龙坎老火锅（两淮新城店）,10:00-00:00,0557-3632555,安徽省宿州市通桥区北关两淮新城C区1号楼0204室
163,小龙坎老火锅（锦绣前程店）,11:00-21:30,0633-2188818,山东省日照市东港区临沂路锦绣前程一号沿街
164,小龙坎老火锅（桥南名郡店）,10:30-次日02：00,0593-5799777,福建省宁德市周宁县狮城镇桥南街41号名郡财富广场第三层部分室内商铺
165,小龙坎老火锅（光明大道店）,11:00-次日02:00,0564-6665888,安徽省六安市霍邱县光明大道165商铺
166,小龙坎老火锅（临沂店）,11:00-23:00,0539-6811111,山东省临沂市锦园大厦测
167,小龙坎老火锅(新华路店),11:00-23:00,0539-8219678,山东省临沂市兰山区新华路八号
168,小龙坎老火锅（北城百联华府店）,11:00-23:00,0539-7977788,山东省临沂市北城新区百联华府3#一层101、二层201/210
169,小龙坎老火锅（管仲老街店）,11:00-23:00,0558-4712229,安徽省阜阳市颍上县管仲老街一期二栋段2-12
170,小龙坎老火锅（桃花岛店）,11：00-22：00,0516-87718998,江苏省徐州市贾汪区将军大街以东同旺家园商业1号楼1-108
171,小龙坎老火锅（世贸店）,11：00-次日02：00,0516-83566717,江苏省徐州市云龙区世贸广场5号楼102-103室
172,小龙坎老火锅（矿大店）,11：00-次日02：00,0516-85868777,江苏省徐州市解放南路延长段28号瑞龙广场卜蜂莲花一楼南2号
173,小龙坎老火锅（城北国际公馆店）,（筹备中）,,江西省上饶市鄱阳县鄱阳湖大道城北国际公馆2楼2号一层
174,小龙坎老火锅（金鹰彭城广场店）,（筹备中）,,江苏省徐州市鼓楼区金鹰彭城广场店B座第8层F8005
175,小龙坎老火锅（君盛广场店）,11：00-次日02：00,0516-85850505,江苏省徐州市鼓楼区中山北路300号1F-01/2F-09-1
176,小龙坎老火锅（金鹰人民广场店）,11：00-次日02：00,0516-85696789,江苏省徐州市泉山区金鹰人民广场1层1130-A01-00052号商铺
